,subst,c,date,power,it,run
0,Pentan,20.0,17.12.2021,24.0,5.0,1
1,Pentan,20.0,17.12.2021,24.0,5.0,2
2,Pentan,20.0,17.12.2021,24.0,5.0,3
3,Pentan,20.0,17.12.2021,24.0,5.0,4
4,Pentan,20.0,17.12.2021,24.0,5.0,5
5,Pentan,20.0,17.12.2021,24.0,5.0,6
6,Pentan,20.0,17.12.2021,24.0,5.0,7
7,Pentan,20.0,17.12.2021,24.0,5.0,8
8,Pentan,20.0,17.12.2021,24.0,5.0,9
9,Pentan,20.0,17.12.2021,24.0,5.0,10
10,Pentan,20.0,17.12.2021,24.0,5.0,11
11,Pentan,20.0,17.12.2021,24.0,10.0,1
12,Pentan,20.0,17.12.2021,24.0,10.0,2
13,Pentan,20.0,17.12.2021,24.0,10.0,3
14,Pentan,20.0,17.12.2021,24.0,10.0,4
15,Pentan,20.0,17.12.2021,24.0,10.0,5
16,Pentan,20.0,17.12.2021,24.0,10.0,6
17,Pentan,20.0,17.12.2021,24.0,10.0,7
18,Pentan,20.0,17.12.2021,24.0,10.0,8
19,Pentan,20.0,17.12.2021,24.0,10.0,9
20,Pentan,20.0,17.12.2021,24.0,10.0,10
21,Pentan,49.5,17.12.2021,24.0,5.0,1
22,Pentan,49.5,17.12.2021,24.0,5.0,2
23,Pentan,49.5,17.12.2021,24.0,5.0,3
24,Pentan,49.5,17.12.2021,24.0,5.0,4
25,Pentan,49.5,17.12.2021,24.0,5.0,5
26,Pentan,49.5,17.12.2021,24.0,5.0,6
27,Pentan,49.5,17.12.2021,24.0,5.0,7
28,Pentan,49.5,17.12.2021,24.0,5.0,8
29,Pentan,49.5,17.12.2021,24.0,5.0,9
30,Pentan,49.5,17.12.2021,24.0,10.0,1
31,Pentan,49.5,17.12.2021,24.0,10.0,2
32,Pentan,49.5,17.12.2021,24.0,10.0,3
33,Pentan,49.5,17.12.2021,24.0,10.0,4
34,Pentan,49.5,17.12.2021,24.0,10.0,5
35,Pentan,49.5,17.12.2021,24.0,10.0,6
36,Pentan,49.5,17.12.2021,24.0,10.0,7
37,Pentan,49.5,17.12.2021,24.0,10.0,8
38,Pentan,49.5,17.12.2021,24.0,10.0,9
39,Pentan,49.5,17.12.2021,24.0,10.0,10
40,Pentan,101.5,17.12.2021,24.0,5.0,1
41,Pentan,101.5,17.12.2021,24.0,5.0,2
42,Pentan,101.5,17.12.2021,24.0,5.0,3
43,Pentan,101.5,17.12.2021,24.0,5.0,4
44,Pentan,101.5,17.12.2021,24.0,5.0,5
45,Pentan,101.5,17.12.2021,24.0,5.0,6
46,Pentan,101.5,17.12.2021,24.0,5.0,7
47,Pentan,101.5,17.12.2021,24.0,5.0,8
48,Pentan,101.5,17.12.2021,24.0,5.0,9
49,Pentan,101.5,17.12.2021,24.0,5.0,10
50,Pentan,101.5,17.12.2021,24.0,10.0,1
51,Pentan,101.5,17.12.2021,24.0,10.0,2
52,Pentan,101.5,17.12.2021,24.0,10.0,3
53,Pentan,101.5,17.12.2021,24.0,10.0,4
54,Pentan,101.5,17.12.2021,24.0,10.0,5
55,Pentan,101.5,17.12.2021,24.0,10.0,6
56,Pentan,101.5,17.12.2021,24.0,10.0,7
57,Pentan,101.5,17.12.2021,24.0,10.0,8
58,Pentan,101.5,17.12.2021,24.0,10.0,9
59,Pentan,101.5,17.12.2021,24.0,10.0,10
60,Pentan,19.8,05.01.2022,24.0,5.0,1
61,Pentan,19.8,05.01.2022,24.0,5.0,2
62,Pentan,19.8,05.01.2022,24.0,5.0,3
